Rank,Title,Artist,Production
154,"BLUE CHECK (Feat. 박재범, 제시) (Prod. by Slom)",토이고 (toigo),Stone Music Entertainment
155,Impurities,LE SSERAFIM (르세라핌),쏘스뮤직
156,Weekend,태연 (TAEYEON),SM Entertainment
157,DEJAVU (Feat. 박재범) (Prod. by Slom),이영지,Stone Music Entertainment
158,Loving You Girl (Feat. Hkeem),Peder Elias,Columbia
159,Crazy,Gnarls Barkley,Warner Music
160,Birthday,레드벨벳(Red Velvet),SM Entertainment
161,Bad Habits,Ed Sheeran,Atlantic Records UK
162,Kill Bill,SZA,Top Dawg Entertainment/RCA Records
163,When I Get Old,"Christopher, 청하",Parlophone Denmark
164,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
165,팡파레,다비치,WAKEONE
166,Bad,Christopher,Parlophone Denmark
167,사랑했어,"전상근, YUICHIRO",뮤니콘
168,마지막 사랑,신예영,투플원엔터테인먼트
169,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),MAKTUB Company
170,I Ain`t Worried,OneRepublic,Interscope Records
171,취기를 빌려 (취향저격 그녀 X 산들),산들,TOON STUDIO
172,MY BAG,(여자)아이들,큐브엔터테인먼트
173,고백,멜로망스(Melomance),"카카오엔터테인먼트, 민트페이퍼, 광합성"
174,듣고 싶을까,MSG워너비(M.O.M),NK Company
175,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
176,One Call Away,Charlie Puth,Artist Partners
177,통화연결음,"보라미유, MJ",프로젝트 리본
178,그중에 그대를 만나,김호중,캔버스뮤직
179,거리에서,성시경,제로원인터랙티브
180,그래서 그대는,이영현,방구석 캐스팅
181,발자국 (Walk With You),NCT DREAM,SM Entertainment
182,바보에게 바보가 (웹툰 `연애의 발견` X 이석훈),이석훈,TOON STUDIO
183,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),EDAM엔터테인먼트
184,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Kakao Entertainment
185,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),Stone Music Entertainment
186,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,페포니 뮤직
187,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),MAKTUB Company
188,으리으리 (Feat. 호미들),NSW yoon,Stone Music Entertainment
189,너였다면,정승환,Stone Music Entertainment
190,Tangerine Love (Favorite),NCT DREAM,SM Entertainment
191,바라만 본다,MSG워너비(M.O.M),유야호
192,I`m Sorry,에일리 (Ailee),Stone Music Entertainment
193,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
194,Shape of You,Ed Sheeran,Atlantic Records UK
195,헤픈 우연,헤이즈 (Heize),피네이션
196,늦은 밤 너의 집 앞 골목길에서,노을,씨제스엔터테인먼트
197,12:45 (Stripped),Etham,Virgin EMI
198,My Universe,"Coldplay, 방탄소년단",Parlophone UK
199,I ≠ DOLL,허윤진,쏘스뮤직
200,겨울잠,아이유 (IU),EDAM엔터테인먼트
1,Ditto,NewJeans,ADOR
2,OMG,NewJeans,ADOR
3,사건의 지평선,윤하,C9엔터테인먼트
4,Hype boy,NewJeans,ADOR
5,VIBE (feat. Jimin of BTS),태양,The Black Label
6,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
7,Candy,NCT DREAM,SM Entertainment
8,Attention,NewJeans,ADOR
9,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
10,After LIKE,IVE (아이브),스타쉽엔터테인먼트
11,Nxde,(여자)아이들,큐브엔터테인먼트
12,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
13,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
14,Monologue,테이 (Tei),방구석 캐스팅
15,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
16,Cookie,NewJeans,ADOR
17,너의 모든 순간,성시경,SBS 콘텐츠허브
18,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
19,Shut Down,BLACKPINK,YG Entertainment
20,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
21,그대를 알고,송하예,디스튜디오
22,사랑은 늘 도망가,임영웅,모스트콘텐츠
23,해요 (2022),#안녕,일팔 프로젝트
24,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
25,사랑인가 봐,멜로망스(Melomance),플렉스엠
26,Say I Love You,우디(Woody),메이저나인
27,Pink Venom,BLACKPINK,YG Entertainment
28,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
29,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
30,WHEN I MOVE,카라 (KARA),RBW
