date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on
2023-09-24,133,윤하,오르트구름,C9엔터테인먼트,3:27,가요 / 락,4339381.0,25.3714,10.0,False
2023-09-24,134,블랙핑크,Pink Venom,YG Entertainment,3:07,가요 / 랩/힙합,4668125.0,63.54764,10.0,False
2023-09-24,135,키스 오브 라이프,Sugarcoat (NATTY Solo),S2 ENTERTAINMENT INC.,3:00,가요 / R&B/소울,0.0,5.72328,4.0,False
2023-09-24,136,임영웅,Polaroid,물고기뮤직,3:26,가요 / 락,5430728.0,51.15188,30.0,False
2023-09-24,137,악뮤,오랜 날 오랜 밤,YG Entertainment,4:44,가요 / 블루스/포크,11929992.0,94.32015,100.0,False
2023-09-24,138,방탄소년단,Take Two,BIGHIT MUSIC,3:50,가요 / R&B/소울,4712538.0,69.9992,13.0,False
2023-09-24,139,잔나비,가을밤에 든 생각,페포니 뮤직,3:07,가요 / 인디,3426583.0,8.30509,23.0,False
2023-09-24,140,뉴진스,Cookie,ADOR,3:53,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,141,엔시티 드림,Yogurt Shake,SM Entertainment,3:18,가요 / 댄스,2295308.0,31.20076,2.0,False
2023-09-24,142,르세라핌,FEARLESS,쏘스뮤직,2:48,가요 / 댄스,4688291.0,12.83059,18.0,False
2023-09-24,143,거미,이럴거면,Studio Beyond,3:47,가요 / 발라드,0.0,43.36905,44.0,False
2023-09-24,144,지코,새삥 (Prod. ZICO) (Feat. 호미들),Stone Music Entertainment,2:27,가요 / 랩/힙합,1602084.0,1.87275,5.0,False
2023-09-24,145,앤 마리,2002,Atlantic Records UK,3:07,POP / 팝,0.0,64.33148,0.0,False
2023-09-24,146,죠지,Boat,크래프트앤준,3:12,가요 / R&B/소울,0.0,38.24694,20.0,False
2023-09-24,147,비투비,그리워하다,큐브엔터테인먼트,3:57,가요 / 발라드,1893514.0,26.33575,61.0,False
2023-09-24,148,WSG워너비,그때 그 순간 그대로 (그그그),MBC,3:43,가요 / 발라드,1676804.0,85.3409,0.0,False
2023-09-24,149,임영웅,인생찬가,물고기뮤직,3:53,가요 / 발라드,5430728.0,51.15188,30.0,False
2023-09-24,150,경서,밤하늘의 별을(2020),꿈의엔진,3:37,가요 / 인디,1586369.0,36.06336,35.0,False
2023-09-24,151,정국,Seven (feat. Latto) - Explicit Ver.,BIGHIT MUSIC,3:04,가요 / 댄스,4173726.0,61.50958,45.0,False
2023-09-24,153,찰리 푸스,I Don`t Think That I Like Her,Atlantic Records,3:09,POP / 팝,3727492.0,15.56366,13.0,False
2023-09-24,154,제로베이스원,In Bloom,WAKEONE,3:01,가요 / 댄스,0.0,63.7724,5.0,False
2023-09-24,155,서동현,사랑이라 믿었던 것들은 (Feat. 이수현),H1GHR MUSIC,3:56,가요 / R&B/소울,4863178.0,29.37908,38.0,False
2023-09-24,156,릴러말즈,Trip (Feat. Hannah),STRAD,3:53,가요 / 랩/힙합,4067143.0,30.24925,30.0,False
2023-09-24,157,이채연,KNOCK,WM엔터테인먼트,2:53,가요 / 댄스,0.0,73.89272,22.0,False
2023-09-24,158,성시경,거리에서,제로원인터랙티브,4:39,가요 / 발라드,3555336.0,45.05305,13.0,False
2023-09-24,160,에일리,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",3:50,OST / 드라마,1538524.0,7.20286,34.0,False
2023-09-24,161,멜로망스,선물,"민트페이퍼, 광합성",4:21,가요 / 인디,2467570.0,50.97353,11.0,False
2023-09-24,161,멜로망스,선물,"민트페이퍼, 광합성",4:21,가요 / 인디,2467570.0,50.97353,0.0,False
2023-09-24,162,노을,늦은 밤 너의 집 앞 골목길에서,씨제스엔터테인먼트,3:36,가요 / 발라드,1600204.0,85.67179,10.0,False
2023-09-24,162,노을,늦은 밤 너의 집 앞 골목길에서,씨제스엔터테인먼트,3:36,가요 / 발라드,1600204.0,85.67179,0.0,False
2023-09-24,163,에스파,Next Level,SM Entertainment,3:42,가요 / 댄스,4995647.0,25.42594,11.0,False
2023-09-24,164,백예린,Bye bye my blue,JYP Entertainment,3:24,가요 / R&B/소울,3104738.0,56.40243,20.0,False
2023-09-24,165,샘 스미스,I`m Not The Only One,Capitol Records,3:59,POP / 팝,0.0,6.64164,20.0,False
2023-09-24,165,샘 스미스,I`m Not The Only One,Capitol Records,3:59,POP / 팝,0.0,6.64164,49.0,False
2023-09-24,166,허용별,Happiness,플렉스엠,4:17,가요 / 발라드,2468924.0,19.00169,0.0,False
2023-09-24,167,임영웅,A bientot,물고기뮤직,4:16,가요 / 랩/힙합,5430728.0,51.15188,30.0,False
2023-09-24,168,방탄소년단,Permission to Dance,BIGHIT MUSIC,3:08,가요 / 댄스,4712538.0,69.9992,13.0,False
2023-09-24,169,지아,사랑하지 않아서 그랬니,플렉스엠,3:43,가요 / 발라드,1717017.0,45.81447,81.0,False
2023-09-24,170,우디,Say I Love You,메이저나인,3:36,가요 / 발라드,1743014.0,28.46486,48.0,False
2023-09-24,171,아이유,가을 아침,"페이브엔터테인먼트,카카오 M",3:39,가요 / 발라드,7814217.0,35.75378,80.0,False
2023-09-24,173,에스파,Thirsty,SM Entertainment,3:13,가요 / R&B/소울,4995647.0,25.42594,11.0,False
2023-09-24,174,잔나비,뜨거운 여름밤은 가고 남은 건 볼품없지만,페포니 뮤직,4:03,가요 / 발라드,3426583.0,8.30509,23.0,False
2023-09-24,175,저스틴 비버,Love Yourself,"Def Jam Recordings, a division of UMG Recordings, Inc",3:54,POP / 팝,2780062.0,49.83227,15.0,False
2023-09-24,176,악뮤,200%,YG Entertainment,3:14,가요 / 전체,11929992.0,94.32015,100.0,False
2023-09-24,177,임영웅,손이 참 곱던 그대,물고기뮤직,3:15,재즈 / 정통,5430728.0,51.15188,30.0,False
2023-09-24,178,악뮤,Give Love,YG Entertainment,2:57,가요 / 전체,11929992.0,94.32015,100.0,False
2023-09-24,179,폴 블랑코,그런 일은,Kakao Entertainment,4:27,가요 / R&B/소울,2255000.0,96.72172,0.0,False
2023-09-24,180,임영웅,사랑해 진짜,물고기뮤직,3:59,가요 / 블루스/포크,5430728.0,51.15188,30.0,False
