date,Title,Artist,변환한이름,Score
2024-08-04,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2024-08-11,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,8.0
2024-08-18,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2024-08-25,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2024-09-01,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-09-08,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,8.0
2024-09-15,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,11.0
2024-09-22,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-09-24,Candy,NCT DREAM,NCT DREAM,2.0
2023-10-01,Candy,NCT DREAM,NCT DREAM,2.0
2023-10-08,Candy,NCT DREAM,NCT DREAM,3.0
2023-10-15,Candy,NCT DREAM,NCT DREAM,2.0
2023-10-22,Candy,NCT DREAM,NCT DREAM,1.0
2023-10-29,Candy,NCT DREAM,NCT DREAM,2.0
2023-11-05,Candy,NCT DREAM,NCT DREAM,3.0
2023-11-12,Candy,NCT DREAM,NCT DREAM,2.0
2023-11-19,Candy,NCT DREAM,NCT DREAM,2.0
2023-11-26,Candy,NCT DREAM,NCT DREAM,2.0
2023-12-03,Candy,NCT DREAM,NCT DREAM,2.0
2023-12-10,Candy,NCT DREAM,NCT DREAM,2.0
2023-12-17,Candy,NCT DREAM,NCT DREAM,3.0
2023-12-24,Candy,NCT DREAM,NCT DREAM,3.0
2023-12-31,Candy,NCT DREAM,NCT DREAM,3.0
2024-01-07,Candy,NCT DREAM,NCT DREAM,2.0
2024-01-14,Candy,NCT DREAM,NCT DREAM,2.0
2024-01-21,Candy,NCT DREAM,NCT DREAM,2.0
2024-01-28,Candy,NCT DREAM,NCT DREAM,2.0
2024-02-04,Candy,NCT DREAM,NCT DREAM,2.0
2024-02-11,Candy,NCT DREAM,NCT DREAM,1.0
2024-02-18,Candy,NCT DREAM,NCT DREAM,1.0
2024-02-25,Candy,NCT DREAM,NCT DREAM,2.0
2024-03-03,Candy,NCT DREAM,NCT DREAM,2.0
2024-03-10,Candy,NCT DREAM,NCT DREAM,3.0
2024-03-17,Candy,NCT DREAM,NCT DREAM,1.0
2024-03-24,Candy,NCT DREAM,NCT DREAM,6.0
2024-03-31,Candy,NCT DREAM,NCT DREAM,5.0
2024-04-07,Candy,NCT DREAM,NCT DREAM,3.0
2024-04-14,Candy,NCT DREAM,NCT DREAM,2.0
2024-04-21,Candy,NCT DREAM,NCT DREAM,2.0
2024-04-28,Candy,NCT DREAM,NCT DREAM,5.0
2024-05-05,Candy,NCT DREAM,NCT DREAM,3.0
2024-05-12,Candy,NCT DREAM,NCT DREAM,3.0
2024-05-19,Candy,NCT DREAM,NCT DREAM,2.0
2024-05-26,Candy,NCT DREAM,NCT DREAM,2.0
2024-06-02,Candy,NCT DREAM,NCT DREAM,1.0
2024-06-09,Candy,NCT DREAM,NCT DREAM,2.0
2024-06-16,Candy,NCT DREAM,NCT DREAM,2.0
2024-06-23,Candy,NCT DREAM,NCT DREAM,1.0
2024-06-30,Candy,NCT DREAM,NCT DREAM,1.0
2024-07-07,Candy,NCT DREAM,NCT DREAM,2.0
2024-07-14,Candy,NCT DREAM,NCT DREAM,1.0
2024-07-21,Candy,NCT DREAM,NCT DREAM,2.0
2024-07-28,Candy,NCT DREAM,NCT DREAM,2.0
2024-08-04,Candy,NCT DREAM,NCT DREAM,2.0
2024-08-11,Candy,NCT DREAM,NCT DREAM,2.0
2024-08-18,Candy,NCT DREAM,NCT DREAM,1.0
2024-08-25,Candy,NCT DREAM,NCT DREAM,2.0
2024-09-01,Candy,NCT DREAM,NCT DREAM,1.0
2024-09-08,Candy,NCT DREAM,NCT DREAM,1.0
2024-09-15,Candy,NCT DREAM,NCT DREAM,2.0
2024-09-22,Candy,NCT DREAM,NCT DREAM,1.0
2023-09-24,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,18.0
2023-10-01,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,21.0
2023-10-08,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,23.0
