date,Rank,Title,Artist,Production
2023-01-01,137,Big world,백예린,블루바이닐
2023-01-01,138,너를 생각해,주시크 (Joosiq),뮤직레시피
2023-01-01,139,LAW (Prod. Czaer),"윤미래, 비비(BIBI)",Stone Music Entertainment
2023-01-01,140,이루리,우주소녀,스타쉽엔터테인먼트
2023-01-01,141,STEP,카라 (KARA),DSP미디어
2023-01-01,142,I`m Not The Only One,Sam Smith,Capitol Records
2023-01-01,143,비싼 숙취,이승윤,MAREUMO
2023-01-01,144,연애편지,임영웅,물고기뮤직
2023-01-01,145,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",NEOKIDZ
2023-01-01,146,Talk that Talk,TWICE,JYP Entertainment
2023-01-01,147,GANADARA (Feat. 아이유),박재범,MORE VISION
2023-01-01,148,어른,Sondia,Stone Music Entertainment
2023-01-01,149,"Flick (Feat. BE`O (비오), 김하온 (HAON)) (Prod. GroovyRoom)",노윤하,Stone Music Entertainment
2023-01-01,150,Blueming,아이유 (IU),Kakao Entertainment
2023-01-01,151,보금자리,임영웅,물고기뮤직
2023-01-01,152,Birthday,레드벨벳(Red Velvet),SM Entertainment
2023-01-01,153,2002,Anne-Marie,Atlantic Records UK
2023-01-01,154,GHOST TOWN,Benson Boone,Warner Records
2023-01-01,155,라일락,아이유 (IU),EDAM엔터테인먼트
2023-01-01,156,Last Christmas,Ariana Grande,Universal Music
2023-01-01,157,"Way up (Feat. CAMO, 저스디스 (JUSTHIS)) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
2023-01-01,158,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트
2023-01-01,159,팡파레,다비치,WAKEONE
2023-01-01,160,입김 (Take My Breath),NCT DREAM,SM Entertainment
2023-01-01,161,Weekend,태연 (TAEYEON),SM Entertainment
2023-01-01,162,"BLUE CHECK (Feat. 박재범, 제시) (Prod. by Slom)",토이고 (toigo),Stone Music Entertainment
2023-01-01,163,몇 번의 이별,#안녕,Warner Music
2023-01-01,164,Loving You Girl (Feat. Hkeem),Peder Elias,Columbia
2023-01-01,165,When I Get Old,"Christopher, 청하",Parlophone Denmark
