date,Rank,Title,Artist,Production
2023-10-01,65,해요 (2022),#안녕,일팔 프로젝트
2023-10-01,66,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스
2023-10-01,67,You & Me,제니 (JENNIE),YG Entertainment
2023-10-01,68,사실말야내가말야그게그러니까말이야,케이시 (Kassy),넥스타엔터테인먼트
2023-10-01,69,민들레 (single ver.),우효 (OOHYO),문화인
2023-10-01,70,폼미쳤다,영탁,탁스튜디오
2023-10-01,71,모래 알갱이,임영웅,물고기뮤직
2023-10-01,72,Like Crazy,지민,BIGHIT MUSIC
2023-10-01,73,미친 사랑의 노래,"김연지, DK",방구석 캐스팅
2023-10-01,74,Candy,NCT DREAM,SM Entertainment
2023-10-01,75,Dynamite,방탄소년단,BIGHIT MUSIC
2023-10-01,76,우리들의 블루스,임영웅,물고기뮤직
2023-10-01,77,Cupid,FIFTY FIFTY,ATTRAKT
2023-10-01,78,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
2023-10-01,79,잠깐 시간 될까,이무진,"BIGPLANETMADE, SWING ENTERTAINMENT"
2023-10-01,80,가을 타나 봐,바이브 (Vibe),메이저나인
2023-10-01,81,That`s Hilarious,Charlie Puth,Atlantic Records UK
2023-10-01,82,사랑의 바보,제이세라 (J-Cera),"투플원 엔터테인먼트, 제나두엔터테인먼트"
2023-10-01,83,ASAP,NewJeans,ADOR
2023-10-01,84,사랑..그게 뭔데,지아 (Zia),니즈뮤직
2023-10-01,85,너 밖엔 없더라,케이시 (Kassy),넥스타엔터테인먼트
2023-10-01,86,Paint The Town Red,Doja Cat,Kemosabe Records/RCA Records
2023-10-01,87,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
2023-10-01,88,그중에 그대를 만나,김호중,캔버스뮤직
2023-10-01,89,Rewrite The Stars,"Zac Efron, Zendaya",Atlantic Records
2023-10-01,90,TOMBOY,(여자)아이들,큐브엔터테인먼트
2023-10-01,91,Monologue,테이 (Tei),방구석 캐스팅
2023-10-01,92,Rainy Days,V,BIGHIT MUSIC
2023-10-01,93,무지개,임영웅,물고기뮤직
2023-10-01,94,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC
2023-10-01,95,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
2023-10-01,96,봄날,방탄소년단,BIGHIT MUSIC
2023-10-01,97,다시 만날 수 있을까,임영웅,물고기뮤직
2023-10-01,98,Butter,방탄소년단,BIGHIT MUSIC
2023-10-01,99,그라데이션,10cm,매직스트로베리사운드
2023-10-01,100,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),Ambition Musik
2023-10-01,101,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),ES Records
2023-10-01,102,빛이 나는 너에게,던 (DAWN),AT AREA
2023-10-01,103,Underwater,권은비,울림 엔터테인먼트
2023-10-01,104,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),WM엔터테인먼트
2023-10-01,105,달빛에 그려지는,미연 ((여자)아이들),도너츠컬쳐
2023-10-01,106,Off The Record,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,107,첫 키스에 내 심장은 120BPM,경서,꿈의엔진
2023-10-01,108,Memories,RIIZE,SM Entertainment
2023-10-01,109,GODS,"NewJeans, League of Legends",라이엇 게임즈
2023-10-01,110,이제 우리 꿈에서만 만나,Yyeon,Yyeon
2023-10-01,111,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
2023-10-01,112,DINOSAUR,AKMU (악뮤),YG Entertainment
2023-10-01,113,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records
2023-10-01,114,AEAO,"다이나믹 듀오 (Dynamic Duo), DJ Premier",아메바컬쳐
2023-10-01,115,뭣 같아,BOYNEXTDOOR,KOZ 엔터테인먼트
2023-10-01,116,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,117,Heaven(2023),임재현,캔버스뮤직
2023-10-01,118,희재,성시경,씨에스해피엔터테인먼트
2023-10-01,119,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
2023-10-01,120,Nxde,(여자)아이들,큐브엔터테인먼트
2023-10-01,121,가을밤에 든 생각,잔나비,페포니 뮤직
2023-10-01,122,Shut Down,BLACKPINK,YG Entertainment
2023-10-01,123,첫사랑,백아,Baek A
2023-10-01,124,アイドル,YOASOBI,YOASOBI
2023-10-01,125,아버지,임영웅,물고기뮤직
2023-10-01,126,나의 X에게,경서,꿈의엔진
2023-10-01,127,Trip (Feat. Hannah),릴러말즈 (Leellamarz),STRAD
2023-10-01,128,한 페이지가 될 수 있게,DAY6,JYP Entertainment
2023-10-01,129,London Boy,임영웅,물고기뮤직
2023-10-01,130,예뻤어,DAY6,JYP Entertainment
2023-10-01,131,ISTJ,NCT DREAM,SM Entertainment
2023-10-01,132,NIGHT DANCER,imase,Universal Music
2023-10-01,133,혼자 왔어요,"DK, 김연지","복학가왕, TOON STUDIO"
2023-10-01,134,숲,최유리,쇼파르엔터테인먼트
2023-10-01,135,When I Get Old,"Christopher, 청하",Parlophone Denmark
2023-10-01,136,Off My Face,Justin Bieber,RBMG/Def Jam
2023-10-01,137,Take Two,방탄소년단,BIGHIT MUSIC
2023-10-01,138,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC
2023-10-01,139,밤 (Night),dori,dori
2023-10-01,140,빛이 나는 사람,김호중,생각엔터테인먼트
2023-10-01,141,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
2023-10-01,142,Polaroid,임영웅,물고기뮤직
2023-10-01,143,내가 아니라도,주호,IN A MILLION
2023-10-01,144,Allergy,(여자)아이들,큐브엔터테인먼트
2023-10-01,145,나의 목소리로,김호중,생각엔터테인먼트
2023-10-01,146,Permission to Dance,방탄소년단,BIGHIT MUSIC
2023-10-01,147,그리워하다,비투비 (BTOB),큐브엔터테인먼트
2023-10-01,148,인생찬가,임영웅,물고기뮤직
2023-10-01,149,오랜 날 오랜 밤,AKMU (악뮤),YG Entertainment
2023-10-01,150,Pink Venom,BLACKPINK,YG Entertainment
2023-10-01,151,Cookie,NewJeans,ADOR
2023-10-01,152,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
2023-10-01,153,트월ㅋ (Prod. Czaer),"미연 ((여자)아이들), 우기 ((여자)아이들)",Stone Music Entertainment
2023-10-01,154,오르트구름,윤하,C9엔터테인먼트
2023-10-01,155,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
2023-10-01,156,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
2023-10-01,157,2002,Anne-Marie,Atlantic Records UK
2023-10-01,158,Seven (feat. Latto) - Explicit Ver.,정국,BIGHIT MUSIC
2023-10-01,159,Boat,죠지,크래프트앤준
2023-10-01,160,거리에서,성시경,제로원인터랙티브
2023-10-01,161,밤하늘의 별을(2020),경서,꿈의엔진
2023-10-01,162,Sugarcoat (NATTY Solo),KISS OF LIFE,S2 ENTERTAINMENT INC.
2023-10-01,163,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
2023-10-01,164,A bientot,임영웅,물고기뮤직
2023-10-01,165,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스"
2023-10-01,166,Next Level,aespa,SM Entertainment
2023-10-01,167,가을 아침,아이유 (IU),"페이브엔터테인먼트,카카오 M"
2023-10-01,168,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
2023-10-01,169,Bye bye my blue,백예린,JYP Entertainment
2023-10-01,170,어른,Sondia,Stone Music Entertainment
2023-10-01,171,I`m Not The Only One,Sam Smith,Capitol Records
2023-10-01,172,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC
2023-10-01,173,Yogurt Shake,NCT DREAM,SM Entertainment
2023-10-01,174,In Bloom,ZEROBASEONE (제로베이스원),WAKEONE
2023-10-01,175,손이 참 곱던 그대,임영웅,물고기뮤직
2023-10-01,176,사랑해 진짜,임영웅,물고기뮤직
2023-10-01,177,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,페포니 뮤직
2023-10-01,178,KNOCK,이채연,WM엔터테인먼트
2023-10-01,179,Say I Love You,우디(Woody),메이저나인
