,date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on,Genre_split,J-POP,Soul,Trot,Pop,OriginalSoundtrack,Hip-Hop,Rap,Drama,Electronica,Rock,KoreanMovies,R&B,Ballad,Classical,Indie,All,Crossover,Jazz,Blues,K-Pop,Folk,Dance,Traditional,season_autumn,season_spring,season_summer,season_winter
68,2023-09-24,69,지민,Like Crazy,BIGHIT MUSIC,-5.459086254386014,가요/댄스,-1.011885148233292,-0.0005546132948152376,0.0044,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
69,2023-09-24,70,피프티 피프티,Cupid,ATTRAKT,-5.485303027443241,가요/댄스,-1.011885148233292,-0.0020573717631024507,0.0001,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
70,2023-09-24,72,엔시티 드림,Candy,SM Entertainment,-5.455636678983748,가요/댄스,-1.0118849901011153,-0.0009505632402667,0.0002,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
71,2023-09-24,73,뉴진스,ASAP,ADOR,-5.512899630661375,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
72,2023-09-24,74,방탄소년단,Dynamite,BIGHIT MUSIC,-5.4680551504319075,가요/댄스,-1.0118848235692852,0.0029608122636318413,0.0013000000000000002,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
73,2023-09-24,75,임영웅,우리들의 블루스,물고기뮤직,-5.462535829788281,가요/발라드,-1.0118847740905452,0.0010607630409791508,0.003,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74,2023-09-24,76,이무진,잠깐 시간 될까,"BIGPLANETMADE, SWING ENTERTAINMENT",-5.448047613098761,가요/락,-1.011885032382121,-0.0006391034108111982,0.0027,0,"['K-Pop', 'Rock']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
75,2023-09-24,77,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",SM Entertainment,-5.459776169466467,OST/드라마,-1.0118849958832226,-0.003595230189253753,0.002,0,"['OriginalSoundtrack', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,2023-09-24,78,찰리 푸스,That`s Hilarious,Atlantic Records UK,-5.503930734615482,POP/팝,-1.0118848914327128,-0.0025269815161564485,0.0013000000000000002,0,"['Pop', 'Pop']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,2023-09-24,79,제이세라,사랑의 바보,"투플원 엔터테인먼트, 제나두엔터테인먼트",-5.443908122616041,가요/발라드,-1.011885148233292,0.0010290211541621169,0.0013000000000000002,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
