Unnamed: 0,date,Rank,Title,Artist_x,Production,Weekly Views,Genre,Runtime,New_Artist,n_score,g_score,ky_chart_on,Artist_y,Date,Ratio
34,2023-09-24,34,CAKE,ITZY (있지),JYP Entertainment,2585403.0,가요 / 랩/힙합,3:19,있지,20.23123,52.0,False,있지,2023-09-24,20.23123
36,2023-09-24,36,너의 모든 순간,성시경,SBS 콘텐츠허브,3555336.0,OST / 드라마,4:03,성시경,45.05305,13.0,False,성시경,2023-09-24,45.05305
114,2023-09-24,111,희재,성시경,씨에스해피엔터테인먼트,3555336.0,OST / 한국영화,4:42,성시경,45.05305,13.0,True,성시경,2023-09-24,45.05305
115,2023-09-24,111,희재,성시경,씨에스해피엔터테인먼트,3555336.0,OST / 한국영화,4:42,성시경,45.05305,16.0,True,성시경,2023-09-24,45.05305
162,2023-09-24,158,거리에서,성시경,제로원인터랙티브,3555336.0,가요 / 발라드,4:39,성시경,45.05305,13.0,False,성시경,2023-09-24,45.05305
37,2023-09-24,37,사랑은 늘 도망가,임영웅,모스트콘텐츠,5430728.0,OST / 드라마,4:03,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
69,2023-09-24,67,모래 알갱이,임영웅,물고기뮤직,5430728.0,가요 / 발라드,3:40,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
77,2023-09-24,75,우리들의 블루스,임영웅,물고기뮤직,5430728.0,가요 / 발라드,3:27,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
85,2023-09-24,83,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이",5430728.0,가요 / 트로트,4:03,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
98,2023-09-24,95,다시 만날 수 있을까,임영웅,물고기뮤직,5430728.0,가요 / 발라드,4:34,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
118,2023-09-24,114,무지개,임영웅,물고기뮤직,5430728.0,가요 / 전체,3:16,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
131,2023-09-24,127,아버지,임영웅,물고기뮤직,5430728.0,가요 / 발라드,3:58,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
135,2023-09-24,131,London Boy,임영웅,물고기뮤직,5430728.0,가요 / 락,4:04,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
140,2023-09-24,136,Polaroid,임영웅,물고기뮤직,5430728.0,가요 / 락,3:26,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
153,2023-09-24,149,인생찬가,임영웅,물고기뮤직,5430728.0,가요 / 발라드,3:53,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
174,2023-09-24,167,A bientot,임영웅,물고기뮤직,5430728.0,가요 / 랩/힙합,4:16,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
184,2023-09-24,177,손이 참 곱던 그대,임영웅,물고기뮤직,5430728.0,재즈 / 정통,3:15,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
187,2023-09-24,180,사랑해 진짜,임영웅,물고기뮤직,5430728.0,가요 / 블루스/포크,3:59,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
190,2023-09-24,183,보금자리,임영웅,물고기뮤직,5430728.0,가요 / 트로트,2:52,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
191,2023-09-24,184,연애편지,임영웅,물고기뮤직,5430728.0,가요 / 블루스/포크,3:35,임영웅,51.15188,30.0,False,임영웅,2023-09-24,51.15188
39,2023-09-24,39,심(心),DK,방구석 캐스팅,0.0,가요 / 락,4:17,디케이,37.2093,13.0,False,디케이,2023-09-24,37.2093
40,2023-09-24,40,주저하는 연인들을 위해,잔나비,페포니 뮤직,3426583.0,가요 / 인디,4:25,잔나비,8.30509,23.0,True,잔나비,2023-09-24,8.30509
143,2023-09-24,139,가을밤에 든 생각,잔나비,페포니 뮤직,3426583.0,가요 / 인디,3:07,잔나비,8.30509,23.0,False,잔나비,2023-09-24,8.30509
181,2023-09-24,174,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,페포니 뮤직,3426583.0,가요 / 발라드,4:03,잔나비,8.30509,23.0,False,잔나비,2023-09-24,8.30509
41,2023-09-24,41,나에게 그대만이,탑현,레이벡스,0.0,가요 / 발라드,3:11,탑현,71.65895,0.0,False,탑현,2023-09-24,71.65895
42,2023-09-24,42,Dangerously,Charlie Puth,Artist Partners,3727492.0,POP / 팝,3:19,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
63,2023-09-24,62,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records,3727492.0,POP / 팝,3:09,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
80,2023-09-24,78,That`s Hilarious,Charlie Puth,Atlantic Records UK,3727492.0,POP / 팝,2:27,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
107,2023-09-24,104,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records,3727492.0,POP / 팝,2:46,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
157,2023-09-24,153,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records,3727492.0,POP / 팝,3:09,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
196,2023-09-24,189,One Call Away,Charlie Puth,Artist Partners,3727492.0,POP / 팝,3:14,찰리 푸스,15.56366,13.0,False,찰리 푸스,2023-09-24,15.56366
43,2023-09-24,43,Slow Dancing,뷔,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,3:07,뷔,50.62411,0.0,False,뷔,2023-09-24,50.62411
52,2023-09-24,51,Love Me Again,뷔,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,3:02,뷔,50.62411,0.0,False,뷔,2023-09-24,50.62411
91,2023-09-24,88,Rainy Days,뷔,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,3:00,뷔,50.62411,0.0,False,뷔,2023-09-24,50.62411
44,2023-09-24,44,사랑인가 봐,멜로망스(Melomance),플렉스엠,2467570.0,OST / 드라마,3:05,멜로망스,50.97353,11.0,False,멜로망스,2023-09-24,50.97353
165,2023-09-24,161,선물,멜로망스(Melomance),"민트페이퍼, 광합성",2467570.0,가요 / 인디,4:21,멜로망스,50.97353,11.0,False,멜로망스,2023-09-24,50.97353
166,2023-09-24,161,선물,멜로망스(Melomance),"민트페이퍼, 광합성",2467570.0,가요 / 인디,4:21,멜로망스,50.97353,0.0,False,멜로망스,2023-09-24,50.97353
47,2023-09-24,47,손오공,세븐틴,플레디스,4099014.0,가요 / 댄스,3:20,세븐틴,35.77106,50.0,False,세븐틴,2023-09-24,35.77106
48,2023-09-24,48,Click Like (Prod. Crush) (Feat. Paul Blanco),크러쉬 (CRUSH),Stone Music Entertainment,2113066.0,가요 / R&B/소울,2:46,크러쉬,13.42077,27.0,False,크러쉬,2023-09-24,13.42077
49,2023-09-24,49,건물 사이에 피어난 장미 (Rose Blossom),하이키,GLG,0.0,가요 / 댄스,3:16,하이키,29.91883,0.0,False,하이키,2023-09-24,29.91883
50,2023-09-24,50,꽃,지수 (JISOO),YG Entertainment,0.0,가요 / 댄스,2:53,지수,47.65091,67.0,False,지수,2023-09-24,47.65091
51,2023-09-24,50,꽃,지수 (JISOO),YG Entertainment,0.0,가요 / 댄스,2:53,지수,47.65091,5.0,False,지수,2023-09-24,47.65091
53,2023-09-24,52,사랑하지 않아서 그랬어,임한별,플렉스엠,1664288.0,가요 / 발라드,3:44,임한별,19.64072,0.0,True,임한별,2023-09-24,19.64072
54,2023-09-24,53,취중고백,김민석,프로젝트 리본,0.0,가요 / 발라드,3:48,김민석,36.5283,72.0,False,김민석,2023-09-24,36.5283
55,2023-09-24,54,Baggy Jeans,NCT U,SM Entertainment,1720691.0,가요 / 댄스,3:31,엔시티 유,33.09283,0.0,False,엔시티 유,2023-09-24,33.09283
57,2023-09-24,56,KIDDING,이세계 아이돌,J Major,0.0,가요 / 전체,3:30,이세계 아이돌,100.0,100.0,False,이세계 아이돌,2023-09-24,100.0
106,2023-09-24,103,OVER,이세계 아이돌,패러블엔터테인먼트,0.0,가요 / 댄스,3:28,이세계 아이돌,100.0,100.0,False,이세계 아이돌,2023-09-24,100.0
133,2023-09-24,129,Superhero,이세계 아이돌,패러블엔터테인먼트,0.0,가요 / 댄스,2:56,이세계 아이돌,100.0,100.0,False,이세계 아이돌,2023-09-24,100.0
61,2023-09-24,60,물론,허각,니즈뮤직,2468924.0,가요 / 발라드,3:44,허각,41.028,57.0,False,허각,2023-09-24,41.028
