date,Rank,Artist,Weekly Views
2023-10-01,149,AKMU (악뮤),11053352.0
2023-10-01,150,BLACKPINK,4260998.0
2023-10-01,151,NewJeans,10594372.0
2023-10-01,152,LE SSERAFIM (르세라핌),4335304.0
2023-10-01,153,"미연 ((여자)아이들), 우기 ((여자)아이들)",3644521.0
2023-10-01,154,윤하,3931666.0
2023-10-01,155,지코 (ZICO),1439505.0
2023-10-01,156,멜로망스(Melomance),2274284.0
2023-10-01,157,Anne-Marie,
2023-10-01,158,정국,7296860.0
2023-10-01,159,죠지,
2023-10-01,160,성시경,3182968.0
2023-10-01,161,경서,1470418.0
2023-10-01,162,KISS OF LIFE,
2023-10-01,163,WSG워너비 (가야G),1597182.0
2023-10-01,164,임영웅,5206668.0
2023-10-01,165,에일리 (Ailee),1434650.0
2023-10-01,166,aespa,4592750.0
2023-10-01,167,아이유 (IU),7120192.0
2023-10-01,168,Charlie Puth,3456353.0
2023-10-01,169,백예린,3018361.0
2023-10-01,170,Sondia,
2023-10-01,171,Sam Smith,
2023-10-01,172,BIG Naughty (서동현),4088242.0
2023-10-01,173,NCT DREAM,2086581.0
2023-10-01,174,ZEROBASEONE (제로베이스원),
2023-10-01,175,임영웅,5206668.0
2023-10-01,176,임영웅,5206668.0
2023-10-01,177,잔나비,3216975.0
2023-10-01,178,이채연,
2023-10-01,179,우디(Woody),1675680.0
2023-10-01,180,"허용별 (허각, 신용재, 임한별)",2327577.0
2023-10-01,181,노을,1405963.0
2023-10-01,182,"Dan + Shay, Justin Bieber",
2023-10-01,183,aespa,4592750.0
2023-10-01,184,임영웅,5206668.0
2023-10-01,185,데이먼스 이어 (Damons Year),
2023-10-01,186,임영웅,5206668.0
2023-10-01,187,AKMU (악뮤),11053352.0
2023-10-01,188,"정은지, 서인국",
2023-10-01,189,백예린,3018361.0
2023-10-01,190,Justin Bieber,2567211.0
2023-10-01,191,Ed Sheeran,2062272.0
2023-10-01,192,거미,
2023-10-01,193,김승민,1400438.0
2023-10-01,194,Yuuri,1449773.0
2023-10-01,195,NMIXX,1388951.0
2023-10-01,196,디오 (D.O.),
2023-10-01,197,AKMU (악뮤),11053352.0
2023-10-01,198,Charlie Puth,3456353.0
2023-10-01,199,온앤오프 (ONF),
2023-10-01,200,태연 (TAEYEON),3096534.0
2023-10-08,1,임영웅,8060791.0
2023-10-08,2,AKMU (악뮤),10517450.0
2023-10-08,3,AKMU (악뮤),10517450.0
2023-10-08,4,제니 (JENNIE),
2023-10-08,5,"다이나믹 듀오 (Dynamic Duo), 이영지",4050291.0
2023-10-08,6,IVE (아이브),12098752.0
2023-10-08,7,정국,6079732.0
2023-10-08,8,NewJeans,9967063.0
2023-10-08,9,NCT 127,3685704.0
2023-10-08,10,NewJeans,9967063.0
2023-10-08,11,전소미,2336332.0
2023-10-08,12,박재정,1819335.0
2023-10-08,13,화사(Hwa Sa),2033636.0
2023-10-08,14,우디(Woody),1657600.0
2023-10-08,15,IVE (아이브),12098752.0
2023-10-08,16,STAYC(스테이씨),2824854.0
2023-10-08,17,RIIZE,1909171.0
2023-10-08,18,(여자)아이들,4429849.0
2023-10-08,19,IVE (아이브),12098752.0
2023-10-08,20,NewJeans,9967063.0
2023-10-08,21,LE SSERAFIM (르세라핌),4237579.0
2023-10-08,22,NewJeans,9967063.0
2023-10-08,23,Lauv,2937953.0
2023-10-08,24,aespa,4819306.0
2023-10-08,25,로이킴,1893436.0
2023-10-08,26,정국,6079732.0
2023-10-08,27,IVE (아이브),12098752.0
2023-10-08,28,AKMU (악뮤),10517450.0
2023-10-08,29,윤하,3895035.0
2023-10-08,30,NewJeans,9967063.0
2023-10-08,31,임영웅,8060791.0
2023-10-08,32,LE SSERAFIM (르세라핌),4237579.0
2023-10-08,33,성시경,3348582.0
2023-10-08,34,Paul Blanco,1766481.0
2023-10-08,35,IVE (아이브),12098752.0
2023-10-08,36,NewJeans,9967063.0
2023-10-08,37,잔나비,3525721.0
2023-10-08,38,IVE (아이브),12098752.0
2023-10-08,39,NewJeans,9967063.0
2023-10-08,40,BIG Naughty (서동현),3805748.0
2023-10-08,41,DK,
2023-10-08,42,정국,6079732.0
2023-10-08,43,IVE (아이브),12098752.0
2023-10-08,44,탑현,
2023-10-08,45,ITZY (있지),2368916.0
2023-10-08,46,멜로망스(Melomance),2322803.0
2023-10-08,47,Charlie Puth,3780309.0
2023-10-08,48,김민석,
2023-10-08,49,H1-KEY,
2023-10-08,50,세븐틴,3848205.0
2023-10-08,51,STAYC(스테이씨),2824854.0
2023-10-08,52,"경서예지, 전건호",1409287.0
2023-10-08,53,임한별,1687532.0
2023-10-08,54,지수 (JISOO),
2023-10-08,55,디오 (D.O.),
2023-10-08,56,"The Kid LAROI, Justin Bieber",
2023-10-08,57,허각,2436716.0
2023-10-08,58,NCT U,1602830.0
2023-10-08,59,임영웅,8060791.0
2023-10-08,60,디오 (D.O.),
2023-10-08,61,Charlie Puth,3780309.0
2023-10-08,62,#안녕,
2023-10-08,63,NewJeans,9967063.0
2023-10-08,64,LE SSERAFIM (르세라핌),4237579.0
2023-10-08,65,이세계 아이돌,
