artist,week,ratio
로이킴,2024-01-22,53.85659
로이킴,2024-01-29,42.90162
로이킴,2024-02-05,59.32343
로이킴,2024-02-12,47.2719
로이킴,2024-02-19,50.92888
로이킴,2024-02-26,52.97562
로이킴,2024-03-04,50.87831
로이킴,2024-03-11,44.90578
로이킴,2024-03-18,51.4053
로이킴,2024-03-25,46.8221
로이킴,2024-04-01,43.87842
로이킴,2024-04-08,41.35526
로이킴,2024-04-15,61.76407
로이킴,2024-04-22,42.4465
로이킴,2024-04-29,43.13584
로이킴,2024-05-06,35.06068
로이킴,2024-05-13,30.82348
로이킴,2024-05-20,67.78452
로이킴,2024-05-27,37.57319
로이킴,2024-06-03,25.21292
로이킴,2024-06-10,22.51942
로이킴,2024-06-17,21.79016
로이킴,2024-06-24,24.69125
로이킴,2024-07-01,24.44373
로이킴,2024-07-08,26.42925
로이킴,2024-07-15,22.92664
로이킴,2024-07-22,20.6723
로이킴,2024-07-29,19.05674
로이킴,2024-08-05,21.35632
로이킴,2024-08-12,25.5536
로이킴,2024-08-19,28.25242
로이킴,2024-08-26,25.06121
로이킴,2024-09-02,25.01596
윤하,2023-09-18,29.30776
윤하,2023-09-25,25.3714
윤하,2023-10-02,21.80381
윤하,2023-10-09,23.23675
윤하,2023-10-16,21.56358
윤하,2023-10-23,20.90612
윤하,2023-10-30,21.38868
윤하,2023-11-06,18.13928
윤하,2023-11-13,25.38615
윤하,2023-11-20,25.39879
윤하,2023-11-27,21.08102
윤하,2023-12-04,31.98609
윤하,2023-12-11,26.39763
