date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,117,한 페이지가 될 수 있게,DAY6,JYP Entertainment,2954926.0,가요 / 락,03:26
2023-09-24,118,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC,,가요 / 랩/힙합,03:35
2023-09-24,119,첫사랑,백아,Baek A,,가요 / 블루스/포크,03:09
2023-09-24,120,NIGHT DANCER,imase,Universal Music,,J-POP / 팝,03:31
2023-09-24,121,Vancouver,BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / R&B/소울,03:36
2023-09-24,122,예뻤어,DAY6,JYP Entertainment,2954926.0,가요 / 락,04:43
2023-09-24,123,Allergy,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,02:43
2023-09-24,124,트월ㅋ (Prod. Czaer),"미연 ((여자)아이들), 우기 ((여자)아이들)",Stone Music Entertainment,4015230.0,가요 / 댄스,02:57
2023-09-24,125,When I Get Old,"Christopher, 청하",Parlophone Denmark,1595025.0,POP / 팝,03:05
2023-09-24,126,AEAO,"다이나믹 듀오 (Dynamic Duo), DJ Premier",아메바컬쳐,4473459.0,가요 / 랩/힙합,05:17
2023-09-24,127,아버지,임영웅,물고기뮤직,5430728.0,가요 / 발라드,03:58
2023-09-24,128,폼미쳤다,영탁,탁스튜디오,,가요 / 댄스,02:47
2023-09-24,129,Superhero,이세계 아이돌,패러블엔터테인먼트,,가요 / 댄스,02:56
2023-09-24,130,내가 아니라도,주호,IN A MILLION,,가요 / 발라드,04:08
2023-09-24,131,London Boy,임영웅,물고기뮤직,5430728.0,가요 / 락,04:04
2023-09-24,132,Off My Face,Justin Bieber,RBMG/Def Jam,2780062.0,POP / 팝,02:37
2023-09-24,133,오르트구름,윤하,C9엔터테인먼트,4339381.0,가요 / 락,03:27
2023-09-24,134,Pink Venom,BLACKPINK,YG Entertainment,4668125.0,가요 / 랩/힙합,03:07
2023-09-24,135,Sugarcoat (NATTY Solo),KISS OF LIFE,S2 ENTERTAINMENT INC.,,가요 / R&B/소울,03:00
2023-09-24,136,Polaroid,임영웅,물고기뮤직,5430728.0,가요 / 락,03:26
2023-09-24,137,오랜 날 오랜 밤,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 블루스/포크,04:44
2023-09-24,138,Take Two,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / R&B/소울,03:50
2023-09-24,139,가을밤에 든 생각,잔나비,페포니 뮤직,3426583.0,가요 / 인디,03:07
2023-09-24,140,Cookie,NewJeans,ADOR,11655019.0,가요 / 댄스,03:53
2023-09-24,141,Yogurt Shake,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,03:18
2023-09-24,142,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,02:48
2023-09-24,143,이럴거면,거미,Studio Beyond,,가요 / 발라드,03:47
2023-09-24,144,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment,1602084.0,가요 / 랩/힙합,02:27
2023-09-24,145,2002,Anne-Marie,Atlantic Records UK,,POP / 팝,03:07
2023-09-24,146,Boat,죠지,크래프트앤준,,가요 / R&B/소울,03:12
2023-09-24,147,그리워하다,비투비 (BTOB),큐브엔터테인먼트,1893514.0,가요 / 발라드,03:57
2023-09-24,148,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC,1676804.0,가요 / 발라드,03:43
2023-09-24,149,인생찬가,임영웅,물고기뮤직,5430728.0,가요 / 발라드,03:53
2023-09-24,150,밤하늘의 별을(2020),경서,꿈의엔진,1586369.0,가요 / 인디,03:37
2023-09-24,151,Seven (feat. Latto) - Explicit Ver.,정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,03:04
2023-09-24,152,이제 우리 꿈에서만 만나,Yyeon,Yyeon,,가요 / R&B/소울,02:20
2023-09-24,153,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records,3727492.0,POP / 팝,03:09
2023-09-24,154,In Bloom,ZEROBASEONE (제로베이스원),WAKEONE,,가요 / 댄스,03:01
2023-09-24,155,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / R&B/소울,03:56
2023-09-24,156,Trip (Feat. Hannah),릴러말즈 (Leellamarz),STRAD,4067143.0,가요 / 랩/힙합,03:53
2023-09-24,157,KNOCK,이채연,WM엔터테인먼트,,가요 / 댄스,02:53
2023-09-24,158,거리에서,성시경,제로원인터랙티브,3555336.0,가요 / 발라드,04:39
